Program: faissGPU Topk: 1000 Num_split: 4 Batch: 2048
L	m	k_star	|	w	Reorder	Metric
8000	48	256	|	1	-1	squared_l2
0.4545 %	0.44444 %	0.404816 %	0.3519131 %	|	0.5187 %	0.5194 %	0.46854 %	0.5197 %	0.46899 %	0.415427 %	1159.0917110443115
8000	48	256	|	2	-1	squared_l2
0.5897 %	0.58998 %	0.554131 %	0.4966318 %	|	0.6857 %	0.6867 %	0.63312 %	0.6868 %	0.63357 %	0.574116 %	1055.4523468017578
8000	48	256	|	4	-1	squared_l2
0.6926 %	0.70564 %	0.686299 %	0.6388228 %	|	0.8151 %	0.8162 %	0.77439 %	0.8163 %	0.77485 %	0.723031 %	1544.478178024292
8000	48	256	|	8	-1	squared_l2
0.7559 %	0.78292 %	0.781168 %	0.7535541 %	|	0.9037 %	0.9048 %	0.87934 %	0.9049 %	0.8798 %	0.84034 %	2542.5164699554443
8000	48	256	|	16	-1	squared_l2
0.7948 %	0.82437 %	0.837569 %	0.8294802 %	|	0.9564 %	0.9575 %	0.94283 %	0.9576 %	0.94328 %	0.919367 %	4005.603790283203
8000	48	256	|	32	-1	squared_l2
0.8116 %	0.84476 %	0.864949 %	0.870566 %	|	0.9823 %	0.9834 %	0.97678 %	0.9835 %	0.97724 %	0.964048 %	6539.976596832275
8000	48	256	|	64	-1	squared_l2
0.8188 %	0.85228 %	0.876648 %	0.8898054 %	|	0.993 %	0.9941 %	0.99156 %	0.9942 %	0.99201 %	0.986256 %	11437.027215957642
8000	48	256	|	128	-1	squared_l2
0.8208 %	0.85491 %	0.880899 %	0.8973344 %	|	0.9966 %	0.9977 %	0.99703 %	0.9978 %	0.99748 %	0.995371 %	24246.66452407837
8000	48	256	|	256	-1	squared_l2
0.8218 %	0.8555 %	0.882199 %	0.8998218 %	|	0.9979 %	0.9991 %	0.99861 %	0.9992 %	0.99906 %	0.998518 %	49382.32684135437
8000	24	256	|	1	-1	squared_l2
0.3223 %	0.34268 %	0.33787 %	0.3166566 %	|	0.4899 %	0.5169 %	0.46152 %	0.5194 %	0.46829 %	0.413236 %	768.8333988189697
8000	24	256	|	2	-1	squared_l2
0.3968 %	0.43196 %	0.439482 %	0.4294508 %	|	0.6421 %	0.6834 %	0.62259 %	0.6865 %	0.63271 %	0.570975 %	943.4182643890381
8000	24	256	|	4	-1	squared_l2
0.4493 %	0.49571 %	0.518085 %	0.5258025 %	|	0.756 %	0.8125 %	0.75918 %	0.8159 %	0.77393 %	0.718708 %	1299.1304397583008
8000	24	256	|	8	-1	squared_l2
0.4793 %	0.53535 %	0.568547 %	0.5936097 %	|	0.83 %	0.9006 %	0.85912 %	0.9045 %	0.87885 %	0.83457 %	2052.332878112793
8000	24	256	|	16	-1	squared_l2
0.4973 %	0.55503 %	0.596281 %	0.6338547 %	|	0.8725 %	0.9529 %	0.91875 %	0.9572 %	0.94231 %	0.911976 %	3046.647071838379
8000	24	256	|	32	-1	squared_l2
0.5052 %	0.56488 %	0.60938 %	0.6542618 %	|	0.8928 %	0.9787 %	0.94984 %	0.9831 %	0.97625 %	0.955176 %	4630.569219589233
8000	24	256	|	64	-1	squared_l2
0.5092 %	0.56822 %	0.614792 %	0.6636017 %	|	0.9014 %	0.9894 %	0.96296 %	0.9938 %	0.99102 %	0.976256 %	7779.211044311523
8000	24	256	|	128	-1	squared_l2
0.5099 %	0.56921 %	0.616702 %	0.6671701 %	|	0.904 %	0.9928 %	0.96763 %	0.9974 %	0.99649 %	0.984667 %	16694.246768951416
8000	24	256	|	256	-1	squared_l2
0.5103 %	0.56953 %	0.617245 %	0.6683051 %	|	0.9049 %	0.9942 %	0.96895 %	0.9988 %	0.99806 %	0.987439 %	35557.55639076233
8000	12	256	|	1	-1	squared_l2
0.1894 %	0.20621 %	0.221429 %	0.237297 %	|	0.37 %	0.4845 %	0.38901 %	0.5122 %	0.4574 %	0.382536 %	721.5981483459473
8000	12	256	|	2	-1	squared_l2
0.2257 %	0.24604 %	0.270686 %	0.3005513 %	|	0.4574 %	0.6301 %	0.50308 %	0.6776 %	0.61593 %	0.514805 %	886.6848945617676
8000	12	256	|	4	-1	squared_l2
0.2448 %	0.27075 %	0.304012 %	0.347312 %	|	0.5153 %	0.7347 %	0.58648 %	0.8047 %	0.74894 %	0.626378 %	1181.0309886932373
8000	12	256	|	8	-1	squared_l2
0.2546 %	0.28513 %	0.32281 %	0.3761746 %	|	0.5484 %	0.8012 %	0.63941 %	0.8908 %	0.84484 %	0.703661 %	1791.9695377349854
8000	12	256	|	16	-1	squared_l2
0.2584 %	0.29103 %	0.331714 %	0.3911346 %	|	0.5639 %	0.8358 %	0.66567 %	0.9411 %	0.89917 %	0.747286 %	2518.064022064209
8000	12	256	|	32	-1	squared_l2
0.259 %	0.29346 %	0.335144 %	0.3974793 %	|	0.57 %	0.8517 %	0.67695 %	0.9654 %	0.92621 %	0.767422 %	3615.736961364746
8000	12	256	|	64	-1	squared_l2
0.26 %	0.29416 %	0.336252 %	0.3997534 %	|	0.5725 %	0.8572 %	0.68052 %	0.9746 %	0.93619 %	0.774995 %	5773.984909057617
8000	12	256	|	128	-1	squared_l2
0.2601 %	0.29428 %	0.336543 %	0.4004086 %	|	0.5726 %	0.8586 %	0.68146 %	0.9776 %	0.93943 %	0.777246 %	13050.358057022095
8000	12	256	|	256	-1	squared_l2
0.2601 %	0.29431 %	0.336592 %	0.4005453 %	|	0.5727 %	0.8592 %	0.68166 %	0.9785 %	0.94003 %	0.777738 %	28631.47211074829
